1056EX,129,4,Admiraal De Ruijterweg,Amsterdam
1044AA,316,,Spaarndammerdijk,Amsterdam
1044AA,318,,Spaarndammerdijk,Amsterdam
1014AA,316,,Spaarndammerdijk,Amsterdam
1098XG,110,,Science Park,Amsterdam
1072JW,1,,Van Hilligaertstraat,Amsterdam
1051MB,52,,Buyspad,Amsterdam
1051MB,54,,Buyspad,Amsterdam
1057RA,85,1,Van Spilbergenstraat,Amsterdam
1032LK,44,,Christoffelkruidstraat,Amsterdam
1032LK,42,,Christoffelkruidstraat,Amsterdam
1032LK,46,,Christoffelkruidstraat,Amsterdam
1032LK,48,,Christoffelkruidstraat,Amsterdam
1032LK,50,,Christoffelkruidstraat,Amsterdam
1032LK,52,,Christoffelkruidstraat,Amsterdam
1032LK,54,,Christoffelkruidstraat,Amsterdam
1032LK,56,,Christoffelkruidstraat,Amsterdam
1032LK,58,,Christoffelkruidstraat,Amsterdam
1032LK,60,,Christoffelkruidstraat,Amsterdam
1032LK,62,,Christoffelkruidstraat,Amsterdam
1032LK,64,,Christoffelkruidstraat,Amsterdam
1032LK,66,,Christoffelkruidstraat,Amsterdam
1032LK,68,,Christoffelkruidstraat,Amsterdam
1032LK,70,,Christoffelkruidstraat,Amsterdam
1032LL,115,,Ridderspoorweg,Amsterdam
1073CS,63,3,Sarphatipark,Amsterdam
1058KA,38,4,Haarlemmermeerstraat,Amsterdam
1054KH,457,4,Overtoom,Amsterdam
1055DX,293,4,Bos en Lommerweg,Amsterdam
1055DX,295,4,Bos en Lommerweg,Amsterdam
1055DX,301,4,Bos en Lommerweg,Amsterdam
1053KZ,108,,Bilderdijkstraat,Amsterdam
1076CS,316,4,Amstelveenseweg,Amsterdam
1013BC,71,,Moermanskkade,Amsterdam
1087CS,45,,Larikslaan,Amsterdam
1087SC,45,,Larikslaan,Amsterdam
1054XT,114,H,Nicolaas Beetsstraat,Amsterdam
1053SL,49,,Jan Hanzenstraat,Amsterdam
1074CJ,396,,Govert Flinckstraat,Amsterdam
1015ZE,78,4,Marnixkade,Amsterdam
1102AM,20,,Drostenburg,Amsterdam
1102AM,22,,Drostenburg,Amsterdam
1102AM,24,,Drostenburg,Amsterdam
1102AM,26,,Drostenburg,Amsterdam
1102AM,28,,Drostenburg,Amsterdam
1102AM,32,,Drostenburg,Amsterdam
1102AM,30,,Drostenburg,Amsterdam
1102AM,34,,Drostenburg,Amsterdam
1102AM,38,,Drostenburg,Amsterdam
1102AM,36,,Drostenburg,Amsterdam
1095MB,118,,John Blankensteinstraat,Amsterdam
1095MB,182,,John Blankensteinstraat,Amsterdam
1095MB,120,,John Blankensteinstraat,Amsterdam
1095MB,122,,John Blankensteinstraat,Amsterdam
1095MB,124,,John Blankensteinstraat,Amsterdam
1095MB,126,,John Blankensteinstraat,Amsterdam
1095MB,128,,John Blankensteinstraat,Amsterdam
1095MB,130,,John Blankensteinstraat,Amsterdam
1095MB,132,,John Blankensteinstraat,Amsterdam
